artist,name,genre,featured_artists,youtube_id,year,difficulty
1T1,Bouwey,Bouyon,Théomaa,tW8KrbpTXcI,2025,3
20syl,Kodama,Electropop,,Mqbw7CUVWhM,2014,5
50 Cent,Ayo Technology,Rap music,Justin Timberlake,0kJ7FYgJ7Mo,2007,1
50 Cent,Outta Control,Rap music,,Z3Oux1lN__4,2005,1
50 Cent,Just A Lil Bit,Rap music,,GllEDACUbNo,2005,1
A Caus' Des Garçons,A Caus' Des Garçons,French pop,,JqYhuwu614Y,2007,1
Ace of Base,Beautiful Life,Pop rock,,wh-07BzfgYY,1995,1
Ace of Base,All That She Wants,Pop rock,,d73tiBBzvFM,1992,2
Afro B,Drogba,Afrobeat,,9YqecbxSr4A,0,2
Agnes Obel,Riverside,Indie pop,,vjncyiuwwXQ,0,5
Agnes Obel,The Curse,French pop,,6h9XUYj96ho,0,5
Al Jarreau,Your Song,Soul,,OH7xg5Eoi2E,0,5
Alanis Morissette,Ironic,Indie rock,,Jne9t8sHpUc,1995,4
Alexander,Truth,Indie folk,,s9yibUR5KNI,0,5
Alicia Keys,Fallin',Rhythm and blues,,Urdlvw0SSEc,2001,1
Alizee,Moi Lolita,French pop,,AWU8vI96-AI,0,1
All-4-One,I Swear,Rhythm and blues,,25rL-ooWICU,1994,1
Aloe Blacc,I Need A Dollar,Soul,,nFZP8zQ5kzk,0,3
Alphaville,Forever Young,Pop rock,,t1TcDHrkQYg,0,1
AlunaGeorge,Attracting Flies,Britpop,,7d_HD89ZlJE,0,2
Aly & AJ,Potential Break Up Song,Pop rock,,LdJps8LBKLE,2007,4
Aly & AJ,Insomniatic,Pop rock,,N536lLGdbG4,2007,5
America,A Horse With No Name,Folk rock,,zSAJ0l4OBHM,1971,3
Amy Winehouse,Back To Black,British blues,,TJAfLE39ZZ8,2018,1
Anastacia,I'm Outta Love,Rhythm and blues,,TnOy6HEf7HU,0,1
Anggun,La neige au Sahara,French pop,,IBLwQF_83r8,0,2
Angus and Julia Stone,Big Jet Plane,Pop rock,,yFTvbcNhEgc,0,4
Angèle,Tout Oublier,French pop,Roméo Elvis,Fy1xQSiLx8U,0,2
Angèle,Balance Ton Quoi,French pop,,Hi7Rx3En7-k,0,2
Angèle,Ta Reine,French pop,,XQKYEs4llzg,0,2
Angèle,I Kissed A Girl (Cover),Acousmatic music,,m7HAQC-uZOk,0,4
Angèle,Perdus,French pop,,HgH_LsBHTPw,0,1
Anitta,Envolver,Latin pop,,hFCjGiawJi4,2022,2
Anya Marina,Vertigo,Indie folk,,MNHge0UOlVY,2005,5
Anya Marina,Whatever You Like,Indie folk,,_0BPnJUx_Yw,2017,5
Anya Marina,Miss Halfway,Indie folk,,H1MJ4xfz_dM,2005,5
Aqua,Barbie Girl,Pop rock,,ZyhrYis509A,0,1
Arctic Monkeys,Do I Wanna Know?,Rock and roll,,bpOSxM0rNPM,0,2
Aretha Franklin,Respect,Soul,,6FOUqQt3Kg0,1967,1
Ashnikko,Halloweenie,Indie pop,,iqSt1ZS_Znw,0,5
Avril Lavigne,Girlfriend,Pop rock,,Bg59q4puhmg,2007,1
Avril Lavigne,Complicated,Pop rock,,5NPBIwQyPWE,2002,1
Aya Nakamura,Hypé,Zouk,,XJ2A_tdYa38,2024,1
Aya Nakamura,Djadja,Afrobeat,,iPGgnzc34tY,2018,1
Ayo,Down On My Knees,Ragga,,NZOJsIlAgpE,0,4
BB Brunes,Dis-Moi,Rock and roll,,X3VNRVo7irM,0,1
Bach,Jesus bleibet meine Freude from Cantata BWV 147,Cantata,,GWtoeYznx8E,0,4
Bach,Cantata Ich steh mit einem Fuss im Grabe BWV 156,Chamber music,,drFcH_WwK7Y,0,5
Backstreet Boys,I Want It That Way,Rhythm and blues,,4fndeDfaWCg,1999,1
Bali Baby,Amber Alert,Rap music,,1WqTFx3r608,0,2
Bali Baby,Professor Finessor,Rap music,,OzzYm3HIR6c,0,2
Barry White,Can't get enough of your love baby,Soul,,ypyiAT1RelU,0,1
BazBaz,Sur le bout de la langue...,French pop,,18eZRHfRoIg,0,1
Beck,Paper Tiger,Alternative rock,,EnkaIEfealU,0,5
Bee Gees,Stayin' Alive,Rock and roll,,fNFzfwLM72c,0,2
Berlin,Take My Breathe Away,Pop rock,,fUis9yny_lI,0,3
Bertrand Belin,Un Déluge,French pop,,P0dhz-KTxV4,0,1
Beyoncé,Crazy In Love,Rhythm and blues,Jay-Z,ViwtNLUqkMY,2003,1
Beyoncé,Check On It,Rhythm and blues,"Bun B, Slim Thug",Q1dUDzBdnmI,2005,1
Beyoncé,Single Ladies (Put a Ring on It),Rhythm and blues,,4m1EFMoRFvY,2008,1
Bhad Bhabie,Gucci Flip Flops,Rap music,Lil Yachty,tsp7IOr7Q9A,0,2
Bhad Bhabie,Geek'd,Rap music,Lil Baby,66h5dGoQ1IU,0,2
Big Scarr,Make A Play,Rap music,,rRxqWYW-EZE,0,1
Big Sean,Big Bidness,Rap music,"Metro Boomin,2 CHainz",gE8NLUSmbD8,0,1
Billy Joel,Uptown Girl,Pop soul,,hCuMWrfXG4E,0,3
Birdy,People Help The People,Europop,,OmLNs6zQIHo,0,3
Birdy,Skinny Love,Indie pop,,lT67liGjZhw,0,3
Bloc Party,Banquet,Alternative rock,,vdkmhquF60o,0,1
Blu Cantrell,Hit 'Em Up Style (Oops!),Rhythm and blues,,LMOKlXfXn50,2001,3
Blur,Song 2,Rock and roll,,SSbBvKaM6sk,0,2
Boyz II Men,End Of The Road,Rhythm and blues,,zDKO6XYXioc,1991,2
