name,spotify_id,genre,spotify_avatar
Cassius,4sf3QZW8a3xZ14IGsOAzoy,,https://i.scdn.co/image/ab6761610000e5eb6686276b73ec5c27ae481992
Castro,,,
Cat Clyde,7oRT0oC3vhUGQJCL6CYYzk,,https://i.scdn.co/image/ab6761610000e5eb1acd7024a0d1bde10d17930b
CeCe Peniston,,,
Ceeza Milli,,, 
Celeste,49HlOY4gkHqsYG9GCuhkcc,,https://i.scdn.co/image/ab6761610000e5eb3b48ae3bd4b963766b769f7c
Celine Dion,,,
Chamillionaire,,,
Chance the Rapper,,,
Charlotte Gainsbourg,2rBcvLKWCZs9w1qIWv560v,,https://i.scdn.co/image/ab6761610000e5eb5c6941ccec946b6e52c87362
Cherish,,,
Chingy,,,
Chris Lake,,,
Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS,,https://i.scdn.co/image/ab6761610000e5eb1fb7a2d94b56df1f8a61d779
Christina Aguilera,,,
Chronixx,2oZcMYiKpjaA2Et5mU3RPP,,https://i.scdn.co/image/ab6761610000e5ebff811e1e25b9cf99dc4e544f
Ciara,,,
Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,,https://i.scdn.co/image/ab6761610000e5eb0e871e0389b9722cc12a4118
Clams Casino,5vSQUyT33qxr1xAX2Tkf3A,,https://i.scdn.co/image/ab6761610000e5ebeb01ceedf9eb7f7cf92b634a
Coco Jambo,5yj6LsFcAIhJvsrRnF02Gl,,
Colbie Caillat,,,
Colbie Caillat,,,
Colby O'Donis,,,
Commodores,,,
Coolio,,,
Corinne Bailey Rae,5gFZo6Oh5WehnbEj0XtxiF,,https://i.scdn.co/image/ab6761610000e5eb102a1c8e6a4838425728d673
Corneille,2GBDOaCl73BVUs2RerIme7,,https://i.scdn.co/image/ab6761610000e5eb8dd642e3a61cd544d9abfee7
Craig David,2JyWXPbkqI5ZJa3gwqVa0c,,https://i.scdn.co/image/ab6761610000e5ebf5fa84e65aeb19b122aae9cb
Culture Club,6kz53iCdBSqhQCZ21CoLcc,,https://i.scdn.co/image/ab6761610000e5eb5903965a15551fd12feb8b87
Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY,,https://i.scdn.co/image/ab6761610000e5eb72f5bad471601240967563d6
Cœur De Pirate,5j4HeCoUlzhfWtjAfM1acR,,https://i.scdn.co/image/ab6761610000e5ebcc129f1c9b5047760d66aae2
DARKSIDE,2933wDUojoQmvqSdTAE5NB,,https://i.scdn.co/image/ab6761610000e5ebedbd92a9fcc728efed3e89b8
DJ Tira,,,
DMX,,,
