id,name,spotify_id,genre,spotify_avatar
43,Bertrand Belin,5yFrjxlSd8zPqzCCNrOI5h,,https://i.scdn.co/image/ab6761610000e5eb0e91e83afd3c20626755aef0
44,Beyoncé,6vWDO969PvNqNYHIOW5v0m,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5eb247f44069c0bd1781df2f785
45,Bhad Bhabie,7DuTB6wdzqFJGFLSH17k8e,Rap music,https://i.scdn.co/image/ab6761610000e5eb32f6eec95752845078cbf24e
46,Big Scarr,579LsvZcRVKtToYjS0tkKz,Rap music,https://i.scdn.co/image/ab6761610000e5eb3cfacf8b70d1dce6ab669fd7
47,Big Sean,0c173mlxpT3dSFRgMO8XPh,Rap music,https://i.scdn.co/image/ab6761610000e5eb3d5b14b45d4c3d10d23b03ff
48,Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,,https://i.scdn.co/image/ab6761610000e5ebb34057d59275011032ef8bc8
49,Birdy,2WX2uTcsvV5OnS0inACecP,,https://i.scdn.co/image/ab6761610000e5eb778483686ae247c1906f02fb
50,Bloc Party,3MM8mtgFzaEJsqbjZBSsHJ,,https://i.scdn.co/image/ab6761610000e5eb42712519962b4c8fe48bc4a6
51,Blu Cantrell,6vytZ677lz4LzCrUDcDokM,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5eb28831abca4b27c9f46416eb1
52,Blueface,3Fl1V19tmjt57oBdxXKAjJ,,https://i.scdn.co/image/ab6761610000e5eb9ee6c8739ef1f20553231132
53,Blur,7MhMgCo0Bl0Kukl93PZbYS,,https://i.scdn.co/image/ab6761610000e5eb00620d736644d2359ce99430
442,Boyz II Men,6O74knDqdv3XaWtkII7Xjp,Rhythm and blues,https://i.scdn.co/image/c8b0d67be35852171d04d7309c2cfe1992a8a4eb
54,Brandy & Monica,05oH07COxkXKIMt6mIPRee,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5ebb39417aaafb9c373e78594ef
55,Brigitte,3sB1RV3IE5yCyMbl01FzBN,,https://i.scdn.co/image/ab6761610000e5ebb6db9f26998bdda2e7c0ff6e
56,Britney Spears,26dSoYclwsYLMAKD3tpOr4,,https://i.scdn.co/image/ab6761610000e5eb3a49b0a3954e460a8a76ed90
