name,birthname,date_of_birth,founding_year,spotify_id,genre,spotify_avatar,wikipedia_page,is_group
Timber Timbre,Timber Timbre,,2005,7HeVXdOdMhLslVputGTZFQ,Progressive rock,https://i.scdn.co/image/ab6761610000e5ebc66bd6288b6f7fb11ac1bc40,https://fr.wikipedia.org/wiki/Timber_Timbre,1
Toto,Toto,,1977,0PFtn5NtBbbUNbU9EAmIWF,nan,https://i.scdn.co/image/ab6761610000e5eba59a5bcab211f964fe9bfb06,https://fr.wikipedia.org/wiki/Toto_(groupe),1
Toy-Box,Toy-Box,,1996,0BYEp3eyHK9Wsp4t2Ad1R8,nan,https://i.scdn.co/image/4cca3caba269ae28b285e448142214aa2515db95,https://fr.wikipedia.org/wiki/Toy-Box,1
Trio,Trio,,1980,417rMeQ1e1B90lsiS1iMZ1,nan,https://i.scdn.co/image/8ad1809ee7fe02f1c348b2d075065aa78ffe9e77,https://fr.wikipedia.org/wiki/Trio_(groupe),1
U.S.A. For Africa,U.S.A. For Africa,,1985,7sF6m3PpW6G6m6J2gzzmzM,Rhythm and blues,https://i.scdn.co/image/ab67616d0000b273920f421260033ee54865d673,https://fr.wikipedia.org/wiki/USA_for_Africa,1
UB40,UB40,,1978,69MEO1AADKg1IZrq2XLzo5,nan,https://i.scdn.co/image/ab6761610000e5eb057ec513c696b66901270810,https://fr.wikipedia.org/wiki/UB40,1
Vengaboys,Vengaboys,,1997,0cwmNvclzPd8mQnoHuIksj,nan,https://i.scdn.co/image/ab6761610000e5eb957b1db0e338bbf2fe2cdc37,https://fr.wikipedia.org/wiki/Vengaboys,1
Village People,Village People,,1977,0dCKce6tJJdHvlWnDMwzPW,Disco,https://i.scdn.co/image/ab6761610000e5eb60571cd7326957308bad6380,https://fr.wikipedia.org/wiki/Village_People,1
Yelle,Yelle,,1983,0WbqAlM1WvfUD6dF7omThd,French pop,https://i.scdn.co/image/ab6761610000e5ebcf45d275cf9b3788c96fd6b3,https://fr.wikipedia.org/wiki/Yelle_(groupe),1
Ying Yang Twins,Ying Yang Twins,,1998,44PA0rCQXikgOWbfY7Fq7m,Rap music,https://i.scdn.co/image/8a522c7faa13cf4321ca6bea075fd97f75f40cfe,https://fr.wikipedia.org/wiki/Ying_Yang_Twins,1
Zero 7,Zero 7,,,14H7ag1wpQOsPPQJOD6Dqr,Trip hop,https://i.scdn.co/image/ab6761610000e5eb85c10aefe83110535eea474c,https://fr.wikipedia.org/wiki/Zero_7,1
a-ha,a-ha,,1982,2jzc5TC5TVFLXQlBNiIUzE,nan,https://i.scdn.co/image/ab6761610000e5eb0168ba8148c07c2cdeb7d067,https://fr.wikipedia.org/wiki/A-ha,1
alt-J,alt-J,,2007,3XHO7cRUPCLOr6jwp8vsx5,nan,https://i.scdn.co/image/ab6761610000e5eb3fb5214e667e278a20878a6b,https://fr.wikipedia.org/wiki/Alt-J,1
t.A.T.u.,t.A.T.u.,,1991,2Q3eZMfDQgT8MhPowKFXYO,Pop rock,https://i.scdn.co/image/ab6761610000e5ebc8bb15d091287d6ce663d430,https://fr.wikipedia.org/wiki/T.A.T.u.,1
