name,birthname,date_of_birth,founding_year,spotify_id,genre,spotify_avatar,wikipedia_page,is_group
Cowboy Junkies,Cowboy Junkies,,,3CYSRCHfilgR8DSbkCMp5j,Pop rock,https://i.scdn.co/image/ab6761610000e5eb2e227f737b1ec8fbfc39b4f7,https://fr.wikipedia.org/wiki/Cowboy_Junkies,1
Culture Club,Culture Club,,1981,6kz53iCdBSqhQCZ21CoLcc,New wave,https://i.scdn.co/image/ab6761610000e5eb5903965a15551fd12feb8b87,https://fr.wikipedia.org/wiki/Culture_Club,1
DARKSIDE,DARKSIDE,,2011,2933wDUojoQmvqSdTAE5NB,nan,https://i.scdn.co/image/ab6761610000e5ebedbd92a9fcc728efed3e89b8,https://fr.wikipedia.org/wiki/Darkside,1
Daft Punk,Daft Punk,,1993,4tZwfgrHOc3mvqYlEYSvVi,nan,https://i.scdn.co/image/ab6761610000e5eba7bfd7835b5c1eee0c95fa6e,https://fr.wikipedia.org/wiki/Daft_Punk,1
Depeche Mode,Depeche Mode,,1980,762310PdDnwsDxAQxzQkfX,nan,https://i.scdn.co/image/ab6761610000e5ebaff13c9484fdad590ccfb73c,https://fr.wikipedia.org/wiki/Depeche_Mode,1
Destiny's Child,Destiny's Child,,1990,1Y8cdNmUJH7yBTd9yOvr5i,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5ebf75e64532704bd6acf0b4e76,https://fr.wikipedia.org/wiki/Destiny%27s_Child,1
Disclosure,Disclosure,,2010,6nS5roXSAGhTGr34W6n7Et,nan,https://i.scdn.co/image/ab6761610000e5eb3faf416d3be99d63fec18baa,https://fr.wikipedia.org/wiki/Disclosure_(groupe),1
Discobitch,Discobitch,,2008,48vWW7ozlrI3oT6zecxDUV,Electro music,https://i.scdn.co/image/ab67616d0000b273aefb45a6e8a68685b3b3a025,https://fr.wikipedia.org/wiki/Discobitch,1
Distruction Boyz,Distruction Boyz,,2012,44MG6uiTa2VeYlcy6VKDXe,nan,https://i.scdn.co/image/ab6761610000e5eb35d00cd4724f50c8142ea630,https://fr.wikipedia.org/wiki/Distruction_Boyz,1
"Earth, Wind & Fire","Earth, Wind & Fire",,1969,4QQgXkCYTt3BlENzhyNETg,nan,https://i.scdn.co/image/ab6761610000e5eb9722e16a886767adf1178f92,"https://fr.wikipedia.org/wiki/Earth,_Wind_and_Fire",1
En Vogue,En Vogue,,1989,5fikk4h5qbEebqK2Fc6e48,Rhythm and blues,https://i.scdn.co/image/ab6761610000e5eb6bb7f8ea26ac28c8d18efd8e,https://fr.wikipedia.org/wiki/En_Vogue,1
Ephemera,Ephemera,,1994,64xAHfAOo1FcDxFDrnBgmr,nan,https://i.scdn.co/image/ab6761610000e5ebcade8fbbec364a37e1a4998e,https://fr.wikipedia.org/wiki/Ephemera,1
