artist,name,genre,featured_artists,youtube_id,year,difficulty
Birdy,Skinny Love,Indie pop,nan,lT67liGjZhw,2011,3
Birdy,People Help The People,Europop,nan,OmLNs6zQIHo,2011,3
Bloc Party,Banquet,Alternative rock,nan,vdkmhquF60o,2005,1
Blondie,Call Me,Blues rock,,StKVS0eI85I,1980,1
Blu Cantrell,Breathe,Rhythm and blues,Sean Paul,wfTC2o05OEw,2003,2
Blu Cantrell,Hit 'Em Up Style (Oops!),Rhythm and blues,nan,LMOKlXfXn50,2001,3
Blur,Song 2,Rock and roll,nan,SSbBvKaM6sk,1997,2
Bobby McFerrin,Don't Worry Be Happy,Soul blues,,d-diB65scQU,1988,3
Bobby Shmurda,Hot N*gga,Rap music,,vJwKKKd2ZYE,2014,1
Bonga,Mona Ki Ngi Xica,Semba,,GjR7H-IytJQ,1996,3
Boyz II Men,End Of The Road,Rhythm and blues,nan,zDKO6XYXioc,1991,2
Brandy & Monica,The Boy Is Mine,Rhythm and blues,nan,qSIOp_K5GMw,1998,2
Brigitte,Allumer Le Feu,French pop,nan,R8JXSAHGK5M,1990,5
Brigitte,Ma Benz,Indie folk,nan,u4hC6d7AgZQ,2013,5
Britney Spears,Baby One More Time,Pop rock,nan,C-u5WLJ9Yk4,1999,1
Britney Spears,Lucky,Pop rock,nan,4vvBAONkYwI,2000,2
Britney Spears,I'm A Slave 4 U,Pop rock,nan,Mzybwwf2HoQ,2001,1
Britney Spears,Oops!... I Did It Again,Pop rock,nan,CduA0TULnow,2000,1
Britney Spears,Toxic,Pop rock,nan,LOZuxwVk7TU,2003,1
Bruce Springsteen,Streets of Philadelphia,Alternative rock,,4z2DtNW79sQ,1994,3
Burna Boy,Anybody,Afrobeat,nan,so4dgTRaWFk,2019,1
Burna Boy,Gbona,Afrobeat,nan,h7WfPHHXCAY,2019,1
Burna Boy,Ye,Afrobeat,nan,lPe09eE6Xio,2018,1
Burna Boy,Last Last,Afrobeat,nan,421w1j87fEM,2022,1
Burna Boy,On The Low,Afrobeat,nan,Ecl8Aod0Tl0,2019,1
Busta Rhymes,Touch It,Rap music,nan,GDtn_FtU614,2005,1
Busta Rhymes,I Know What You Want,Rhythm and blues,Mariah Carey,WDaNJW_jEBo,2002,1
CKay,Emiliana,Afrobeat,nan,Ypr5QN7Xn_M,2021,1
CKay,Love Nwantiti,Afrobeat,nan,MxjrsDV8Aeo,2019,1
Caballero & JeanJass,Sur Mon Nom,Rap music,nan,w0na7OG-16A,2018,2
Calvin Harris,One Kiss,Traditional pop music,nan,DkeiKbqa02g,2018,1
Camila Cabello,Havana,Latin pop,nan,BQ0mxQXmLsk,2018,1
Camille,Allez Allez Allez,Indie pop,nan,lVPlG4UDwXM,2017,4
Captain Kid,We & I,Indian pop,nan,LpgO6lhi3pY,0,1
Cardi B,Be Careful,Rap music,nan,8zSRkr1nQNw,2018,1
Cardi B,Bartier Cardi,Rap music,21 Savage,hXnMSaK6C2w,2017,1
Cardi B,Drip,Rap music,Migos,H4Hb6HcCm_E,2018,1
Cardi B,I Like It,Rap music,nan,xTlNMmZKwpA,2018,2
Cardi B,WAP,Rap music,nan,hsm4poTWjMs,2020,1
Cardi B,Bodak Yellow,Rap music,nan,PEGccV-NOm8,2017,1
Cardi B,Money,Rap music,nan,KHAPUDcJDG8,2018,1
Carla Bruni,Quelqu'un m'a dit,French pop,nan,EC7Re8cczj0,2002,2
Carlos Puebla,Hasta Siempre Comandante,Salsa,,fcnH8oK8FlY,1965,5
Carnage,Bricks,Rap music,Migos,zYU75-OANxc,2015,1
Cascada,Everytime We Touch,Europop,nan,4G6QDNC4jPs,2005,5
Cassie,Me & You,Rhythm and blues,nan,rrby-9U2TYE,2006,1
Cassie,Goodies,Rhythm and blues,Petey Pablo,YtC92pzp5vw,2004,1
Cassius,I Love U So,Electro music,nan,NazVKnD-_sQ,1999,4
Cat Clyde,Mama Said,Blues rock,nan,gqXdU1IK2JI,2017,5
CeCe Peniston,Finally,Rhythm and blues,nan,xk8mm1Qmt-Y,1992,4
Celeste,Strange,Jazz blues,nan,7ZbO3pq9qq4,2019,5
Celine Dion,"My Heart Will Go On (Love Theme from ""Titanic"")",Film score,nan,gfTk-0qSMaY,1997,1
Cesária Évora,Sodade,Morna,,ku_WZoTtT8Q,1992,2
Cesária Évora,Petit pays,Morna,,DeLUGn7qYP8,1995,1
Chairlift,Bruises,Synthpop,,ZQ9hLOHj8ag,2008,5
Chaka Khan,Ain't Nobody,Rhythm and blues,nan,kDwms-9hdKw,1983,2
Chamillionaire,Creepin',Rap music,nan,ibzeCACuBcg,2005,1
Chance the Rapper,Hot Shower,Rap music,"MadeinTYO,DaBaby",3qoV_Ee9pOM,2019,1
Charlotte Gainsbourg,Time of the Assassins,French pop,nan,-RSRmQ6WiUU,2009,5
Cherish,Do It To It,Rhythm and blues,Sean P,dPCS68n0s2I,2006,1
Childish Gambino,This Is America,Rap music,,VYOjWnS4cMY,2018,1
Chingy,Right Thurr,Rap music,nan,iO476kD-k0g,2003,1
Chris Stapleton,Tennessee Whiskey,Soul blues,,4zAThXFOy2c,2015,1
Christina Aguilera,Can't Hold Us Down,Rhythm and blues,,dg8QgUIKXHw,2003,1
